title,content,date,source,lang,url,title_translated,content_translated
CTA Smart recebe aporte da Indicator Capital e Marcopolo para aprimorar o seu sistema e expandir internacionalmente,"<p id="""">  A Indicator Capital, gestora brasileira de venture capital early-stage, e a Marcopolo, por meio de seu braço de corporate venture capital e novos negócios, MarcoZero, dedicado a monitorar, estruturar e investir em oportunidades na área de mobilidade, anunciam o investimento inicial de R$ 5,5 milhões na CTA Smart, empresa de tecnologia do segmento de combustíveis com foco em sistemas de automação e controle de abastecimento. A previsão é que, com um segundo aporte previsto para ocorrer em até 18 meses, o investimento possa atingir até R$ 19 milhões.</p><p id="""">Com base em Porto Alegre e nos Estados Unidos, a CTA Smart é detentora de uma tecnologia de sistemas inteligentes para abastecimento de frotas com base em um modelo de SaaS (Software as a Service). A plataforma estará acessível para a gestão do combustível de empresas de todos os portes e segmentos do Brasil e do mundo, com robustez e facilidade de instalação remota.</p><p id="""">O alinhamento da CTA Smart com a tese de Internet das Coisas foi um dos fatores determinantes para o investimento da Indicator Capital. Já para a MarcoZero, o investimento foi escolhido pela sinergia com os objetivos da companhia de continuamente agregar valor, segurança e dados à operação de seus clientes por meio da gestão inteligente de frotas.</p><p id="""">A plataforma torna acessível a gestão do combustível a empresas de todos os portes de diferentes segmentos, o que antes, só era possível às grandes companhias. No atual cenário, o combustível representa um dos maiores custos para as empresas nos setores de transporte, mineração, construção, reflorestamento, entre outros.   Diante disso, a gestão se torna fundamental para evitar desperdício e desvio do combustível, e, consequentemente, reduzir os custos operacionais e aumentar a produtividade, lucratividade e competividade das empresas.</p><p id="""">Fábio Iunis de Paula, cofundador da Indicator Capital, explica que com as tecnologias anteriores, o processo de gestão de abastecimento era moroso e demandava uma infraestrutura complexa, além de instalação e manutenção presenciais nas empresas. Com a solução da CTA Smart, a gestão passa a ser remota, graças à conectividade direta com a nuvem, e há a possibilidade de instalação do dispositivo na bomba de abastecimento pelo próprio cliente. O gestor tem toda a operação na mão e consegue melhorar suas margens operacionais. Com isso, a CTA Smart está aprimorando a jornada do cliente, o que está em sinergia com os objetivos da Marcopolo.</p><p id=""""><a href=""https://www.abvcap.com.br/sala-de-imprensa/noticias-imprensa.aspx?c=pt-BR&id=5125"" id="""">Continue lendo</a></p>",2021-10-11,ABVCap,pt,https://www.abvcap.com.br/sala-de-imprensa/noticias-imprensa.aspx?c=pt-BR&id=5125,CTA Smart receives investment from Indicator Capital and Marcopolo to improve its system and expand internationally,"<p id=""""> Indicator Capital, a Brazilian early-stage venture capital manager, and Marcopolo, through its corporate venture capital and new business arm, MarcoZero, dedicated to monitoring, structuring and investing in opportunities in the area of mobility, announce the initial investment of R$5.5 million in CTA Smart, a technology company in the fuel segment focused on automation and supply control systems. The forecast is that, with a second contribution expected to occur within 18 months, the investment could reach up to R$ 19 million.</p><p id="""">Based in Porto Alegre and the United States, CTA Smart owns intelligent systems technology for fleet supply based on a SaaS (Software as a Service) model. The platform will be accessible for fuel management for companies of all sizes and segments in Brazil and around the world, with robustness and ease of remote installation.</p><p id="""">CTA Smart's alignment with the thesis of Internet of Things was one of the determining factors for Indicator Capital's investment. As for MarcoZero, the investment was chosen due to its synergy with the company's objectives of continually adding value, security and data to its customers' operations through intelligent fleet management.</p><p id="""">The platform makes fuel management accessible to companies of all sizes in different segments, which was previously only possible for large companies. In the current scenario, fuel represents one of the biggest costs for companies in the transport, mining, construction, reforestation sectors, among others.   Given this, management becomes essential to avoid waste and diversion of fuel, and, consequently, reduce operational costs and increase the productivity, profitability and competitiveness of companies.</p><p id="""">Fábio Iunis de Paula , co-founder of Indicator Capital, explains that with previous technologies, the supply management process was time-consuming and required complex infrastructure, in addition to on-site installation and maintenance at companies. With the CTA Smart solution, management becomes remote, thanks to direct connectivity with the cloud, and there is the possibility of installing the device on the fuel pump by the customer. The manager has the entire operation in hand and is able to improve his operating margins. With this, CTA Smart is improving the customer journey, which is in synergy with Marcopolo's objectives.</p><p id=""""><a href=""https://www.abvcap.com. br/sala-de-imprensa/noticias-imprensa.aspx?c=pt-BR&id=5125"" id="""">Continue reading</a></p>"
BNDES e Qualcomm Ventures selecionam gestor para fundo de Internet das Coisas,"<p id="""">  O Banco Nacional de Desenvolvimento Econômico e Social (BNDES) e a Qualcomm Ventures LLC, braço de investimento da Qualcomm Incorporated, selecionaram a Indicator Capital como gestora de fundo de investimento em participações focado em startups que desenvolvam produtos e serviços para Internet das Coisas (ou IoT, do inglês Internet of Things).</p><p id="""">A expectativa é que o fundo levante R$ 160 milhões para investir no Brasil em empresas em estágio inicial de desenvolvimento, sendo que o BNDES e a Qualcomm Ventures já se comprometeram a aportar até R$ 40 milhões cada. Outros investidores serão convidados a participar e auxiliar na composição do valor total. O objetivo do BNDES e da Qualcomm Ventures com o lançamento do fundo é fomentar o setor de IoT no<br>Brasil.</p><p id=""""><a href=""https://indicator.capital/2020/06/23/Indicator2IoT/BNDES"" target=""_blank"" id="""">Leia mais</a></p>",2020-7-23,Agencia Bndes De Noticias,pt,https://indicator.capital/2020/06/23/Indicator2IoT/BNDES,BNDES and Qualcomm Ventures select manager for Internet of Things fund,"<p id=""""> The National Bank for Economic and Social Development (BNDES) and Qualcomm Ventures LLC, the investment arm of Qualcomm Incorporated, selected Indicator Capital as the manager of an equity investment fund focused on startups that develop products and services for the Internet of Things (or IoT).</p><p id="""">The expectation is that the fund will raise R$ 160 million to invest in Brazil in companies in the initial stage of development, and BNDES and Qualcomm Ventures have already committed to contributing up to R$40 million each. Other investors will be invited to participate and help with the total amount. The objective of BNDES and Qualcomm Ventures with the launch of the fund is to promote the IoT sector in<br>Brazil.</p><p id=""""><a href=""https://indicator.capital/2020 /06/23/Indicator2IoT/BNDES"" target=""_blank"" id="""">Read more</a></p>"
FAPESP firma parcerias para fomentar investimentos em empresas apoiadas pelo PIPE,"<p id="""">A FAPESP firmou parcerias com fundos de investimentos, plataformas de investimento participativo (equity crowdfunding) e redes de investidores-anjo. A iniciativa integra um conjunto de medidas voltadas a ampliar e a diversificar as fontes de financiamento das empresas de base tecnológica (deep techs) apoiadas pelo Programa Pesquisa Inovativa em Pequenas Empresas (PIPE).</p><p id="""">“Há dois anos, o Conselho Superior da FAPESP decidiu aprovar uma diretriz que, além do que fazemos por meio do PIPE e outros instrumentos da instituição voltados a apoiar pequenas empresas inovativas, também abrisse a possibilidade de trabalhar com parceiros externos à Fundação no apoio do aporte de capital junto às empresas apoiadas pelos nossos programas”, disse Carlos Américo Pacheco, diretor-presidente do Conselho Técnico-Administrativo (CTA) da FAPESP, durante o PIPE Day, evento on-line realizado nos dias 23 e 27 de maio com o intuito de apresentar as novas oportunidades de acesso a capital para representantes de empresas apoiadas pelo PIPE.</p><p id="""">“É uma tentativa de dar um passo além do que já fazíamos para termos mais sucesso na transformação dessas empresas inovadoras, intensivas em tecnologia, para que possam ter maior êxito em suas jornadas”, afirmou.</p><p id="""">A gravação das apresentações pode ser acessada na página, onde também foram disponibilizados os arquivos de slides exibidos pelas parceiras.</p><p id="""">Os novos parceiros da FAPESP que se apresentaram aos empreendedores no PIPE Day foram as gestoras dos fundos Criatec 4 e Indicator 2 IoT, as plataformas de equity crowdfunding EqSeed e Captable e as redes de investidores-anjo FEA Angels e Anjos do Brasil.</p><p id="""">A adesão da FAPESP ao Criatec 4 e Indicator 2 IoT, ambos fundos patrocinados pelo Banco Nacional de Desenvolvimento Econômico e Social (BNDES) e com a participação de cotistas públicos e privados, ocorreu no ano passado. A Fundação aportará R$ 30 milhões em cada fundo por um período de quatro a cinco anos, sendo que montante equivalente deve ser investido em empresas egressas ou participantes do PIPE.</p><p id="""">(Por: Elton Alisson – Agência FAPESP)</p><p id=""""><a href=""https://agencia.fapesp.br/fapesp-firma-parcerias-para-fomentar-investimentos-em-empresas-apoiadas-pelo-pipe/51950"">Read -&gt;</a></p><p id="""">‍</p>",2024-6-14,Agencia Fapesp,pt,https://agencia.fapesp.br/fapesp-firma-parcerias-para-fomentar-investimentos-em-empresas-apoiadas-pelo-pipe/51950,FAPESP establishes partnerships to encourage investments in companies supported by PIPE,"<p id="""">FAPESP has established partnerships with investment funds, participatory investment platforms (equity crowdfunding) and angel investor networks. The initiative is part of a set of measures aimed at expanding and diversifying the sources of financing for technology-based companies (deep techs) supported by the Innovative Research in Small Businesses Program (PIPE).</p><p id="""">“ Two years ago, FAPESP's Superior Council decided to approve a guideline that, in addition to what we do through PIPE and other instruments of the institution aimed at supporting small innovative companies, also opened up the possibility of working with partners outside the Foundation to support funding of capital with the companies supported by our programs”, said Carlos Américo Pacheco, director-president of FAPESP's Technical-Administrative Council (CTA), during PIPE Day, an online event held on May 23 and 27 with the aim of to present new opportunities to access capital for representatives of companies supported by PIPE.</p><p id="""">“It is an attempt to go a step further than we were already doing to be more successful in transforming these innovative companies , intensive in technology, so that they can be more successful in their journeys”, he stated.</p><p id="""">The recording of the presentations can be accessed on the page, where the slide files shown by the partners were also made available .</p><p id="""">The new FAPESP partners who presented themselves to entrepreneurs on PIPE Day were the managers of the Criatec 4 and Indicator 2 IoT funds, the equity crowdfunding platforms EqSeed and Captable and the investor networks -anjo FEA Angels and Anjos do Brasil.</p><p id="""">FAPESP's adherence to Criatec 4 and Indicator 2 IoT, both funds sponsored by the National Bank for Economic and Social Development (BNDES) and with the participation of public and private shareholders, occurred last year. The Foundation will invest R$30 million in each fund for a period of four to five years, with the equivalent amount being invested in companies that are members of or participants in the PIPE.</p><p id="""">(By: Elton Alisson – Agência FAPESP)</p><p id=""""><a href=""https://agencia.fapesp.br/fapesp-firma-parcerias-para-fomentar-investimentos-em-empresas-apoiadas-pelo- pipe/51950"">Read -&gt;</a></p><p id="""">‍</p>"
"Na umgrauemeio, “onde há fumaça há solução” e receita 70% maior","<p id="""">Os incêndios florestais são considerados, por muitos especialistas, como os grandes vilões do aquecimento global. Isso porque além de jogarem muita fumaça para a atmosfera do planeta, ainda destroem ecossistemas que absorviam muito carbono.</p><p id="""">A startup umgrauemeio, que desenvolveu um sistema de Inteligência Artificial para preservar e combater incêndios em florestas, tem sua carteira de clientes 100%constituída por empresas do agronegócio.<br><br>(Por: Renato Carvalho)</p><p id=""""><a href=""https://agfeed.com.br/agtech/na-umgrauemeio-onde-ha-fumaca-ha-solucao-e-receita-70-maior/"">Read-&gt;</a></p><p id="""">‍</p>",2024-4-11,AG Feed,pt,https://agfeed.com.br/agtech/na-umgrauemeio-onde-ha-fumaca-ha-solucao-e-receita-70-maior/,"At umgrauemeio, “where there is smoke there is a solution” and 70% higher revenue","<p id="""">Forest fires are considered, by many experts, to be the great villains of global warming. This is because in addition to throwing a lot of smoke into the planet's atmosphere, they also destroy ecosystems that absorb a lot of carbon.</p><p id="""">The startup umgrauemeio, which developed an Artificial Intelligence system to preserve and fight forest fires , its client portfolio is 100% made up of agribusiness companies.<br><br>(By: Renato Carvalho)</p><p id=""""><a href=""https://agfeed.com. br/agtech/na-umgrauemeio-onde-ha-fumaca-ha-solucao-e-receita-70-maior/"">Read-&gt;</a></p><p id="""">‍</ p>"
"Fabio Iunis, da Indicator Capital: “O agro é considerado estratégico pelo Plano Nacional de IoT, e não tem porquê o país não ser protagonista nessas tecnologias”","<p id="""">  Inteligência artificial, Internet das Coisas (IoT) e conectividade são os três temas em que a Indicator Capital foi se tornando especialista e referência no mercado de investimentos nos últimos anos. Fundada em 2014 em São Paulo (SP), a gestora dos sócios Derek Bittar, Thomas Bittar e Fábio Iunis de Paula tem hoje R$ 300 milhões sob gestão, divididos em dois fundos que aportam neste tripé de tecnologias.</p><p id="""">O primeiro fundo, mais focado em inteligência artificial, teve a captação de US$ 5,7 milhões (mais de R$ 30 milhões) coordenada por Thomas Bittar, que fez aportes em 18 empresas, das quais 4 já resultaram em saídas (Social Miner, IOUU, Threedy.ai e TEVEC).</p><p id="""">O segundo fundo - lançado em maio de 2021 e ancorado pelo BNDES e Qualcomm Ventures e gerido pela Indicator Capital – tem outros R$ 240 milhões, dos quais R$ 70 milhões já foram alocados em 7 startups, da área de IoT e conectividade (Monuv, CTA Smart, InfoPrice, Beegol, SYOS, IBBX e Rúmina).</p><p id="""">A Rúmina, ecossistema de soluções para a pecuária, por enquanto, é a única representante do agro, mas a expectativa é que o setor vá ganhando mais espaço. Com duração de 10 anos, o segundo fundo gerido pela Indicator Capital investirá em até 30 empresas em estágio inicial (Série A) com cheques de, em média, R$ 10 milhões.</p><p id="""">Ao AgTech Garage News, o sócio da Indicator Capital Fábio Iunis de Paula (que trabalhou por 17 anos na Intel, 14 deles na Intel Capital) e o VP Mártin Lima (que está na gestora há quase 6 anos e é um dos fundadores do Emerging Venture Capital Fellows, comunidade de investidores de VC), contam qual a tese da Indicator para o agro, como veem a maturidade das soluções de IoT para o setor, seus desafios e a colaboração dentro do ecossistema.  </p><p id="""">Por: Marina Salles (AgTech Garage News)</p><p id=""""><a href=""https://www.agtechgarage.news/fabio-iunis-da-indicator-capital-o-agro-e-considerado-estrategico-pelo-plano-nacional-de-iot-e-nao-tem-porque-o-pais-nao-ser-protagonista-nessas-tecnologias/"" id="""">Read -&gt;</a></p>",2023-2-23,AG Feed,pt,https://www.agtechgarage.news/fabio-iunis-da-indicator-capital-o-agro-e-considerado-estrategico-pelo-plano-nacional-de-iot-e-nao-tem-porque-o-pais-nao-ser-protagonista-nessas-tecnologias/,"Fabio Iunis, from Indicator Capital: “Agriculture is considered strategic by the National IoT Plan, and there is no reason for the country not to be a protagonist in these technologies”","<p id=""""> Artificial intelligence, Internet of Things (IoT) and connectivity are the three themes in which Indicator Capital has become a specialist and reference in the investment market in recent years. Founded in 2014 in São Paulo (SP), the manager of partners Derek Bittar, Thomas Bittar and Fábio Iunis de Paula currently has R$300 million under management, divided into two funds that contribute to this tripod of technologies.</p><p id="""">The first fund, more focused on artificial intelligence, raised US$5.7 million (more than R$30 million) coordinated by Thomas Bittar, who made contributions to 18 companies, of which 4 have already resulted in exits (Social Miner, IOUU, Threedy.ai and TEVEC).</p><p id="""">The second fund - launched in May 2021 and anchored by BNDES and Qualcomm Ventures and managed by Indicator Capital - has other R$ 240 million, of which R$ 70 million has already been allocated to 7 startups, in the area of ​​IoT and connectivity (Monuv, CTA Smart, InfoPrice, Beegol, SYOS, IBBX and Rúmina).</p><p id="" "">Rúmina, an ecosystem of solutions for livestock farming, is for now the only representative of agriculture, but the expectation is that the sector will gain more space. With a duration of 10 years, the second fund managed by Indicator Capital will invest in up to 30 early-stage companies (Series A) with checks of, on average, R$10 million.</p><p id="""">To AgTech Garage News, Indicator Capital partner Fábio Iunis de Paula (who worked for 17 years at Intel, 14 of them at Intel Capital) and VP Mártin Lima (who has been with the manager for almost 6 years and is one of the founders of Emerging Venture Capital Fellows, a community of VC investors), tell us what Indicator's thesis is for agriculture, how they see the maturity of IoT solutions for the sector, its challenges and collaboration within the ecosystem.  </p><p id="""">By: Marina Salles (AgTech Garage News)</p><p id=""""><a href=""https://www.agtechgarage.news/fabio-iunis- da-indicator-capital-agro-is-considered-strategic-by-the-national-iot-plan-and-it-is-not-because-the-country-is-not-a-protagonist-in-these-technologies/"" id ="""">Read -&gt;</a></p>"
Conectividade e inteligência artificial impactando no campo,"<p id="""">Entrevista com Fabio Iunis de Paula – cofundador da Indicator Capital</p><p><a href=""https://materiais.distrito.me/report/agtech-report?utm_campaign=agtech_report_2023&utm_content=270155641&utm_medium=social&utm_source=linkedin&hss_channel=lcp-9195616"">Read-&gt;</a> (link para download do estudo)</p>",2023-10-25,AG Feed,pt,https://materiais.distrito.me/report/agtech-report?utm_campaign=agtech_report_2023&utm_content=270155641&utm_medium=social&utm_source=linkedin&hss_channel=lcp-9195616,Connectivity and artificial intelligence impacting the field,"<p id="""">Interview with Fabio Iunis de Paula – co-founder of Indicator Capital</p><p><a href=""https://materiais.distrito.me/report/agtech-report?utm_campaign=agtech_report_2023&utm_content= 270155641&utm_medium=social&utm_source=linkedin&hss_channel=lcp-9195616"">Read-&gt;</a> (link to download the study)</p>"
Após investimentos CTA Smart projeta crescer dois dígitos em 2021,"<p id="""">  Com o propósito de democratizar a automatização de bombas de combustível que abastecem frotas de veículos e de eliminar fronteiras a CTA Smart, empresa de tecnologia desenvolvedora de sistemas de automação e controle de abastecimento, fundada há dez anos em Porto Alegre, RS, agora quer alçar voos maiores. Recebeu, no mês passado, rodada inicial de aportes de R$ 5,5 milhões da Marcozero, braço de corporate venture capital e novos negócios da Marcopolo, e da Indicator Capital, gestora brasileira de venture capital early-stage.</p><p id="""">A ideia é turbinar o sistema com tecnologias mais avançadas, ampliar sua presença em pequenas e médias empresas no Brasil e levar o serviço a outros trinta países. Com crescimento em torno de 35% ao ano o objetivo é manter o avanço de dois dígitos e encerrar 2021 com faturamento de R$ 15 milhões.</p><p id="""">Há dois anos a CTA Smart iniciou processo de internacionalização ao inaugurar filial em Miami, nos Estados Unidos, onde é conhecida como Link2Pump. Atualmente 95% da receita da startup gaúcha provêm de companhias locais e 5% do Exterior. Mas o plano é que, até o fim de 2022, esse porcentual salte para 25%, afirma o CEO Bruno Lopes.</p><p id=""""><a href=""https://www.autodata.com.br/noticias/2021/11/05/apos-investimentos-cta-smart-projeta-crescer-dois-digitos-em-2021/34702/"" id="""">Continue lendo</a></p>",2021-11-5,Autodata,pt,https://www.autodata.com.br/noticias/2021/11/05/apos-investimentos-cta-smart-projeta-crescer-dois-digitos-em-2021/34702/,After investments CTA Smart projects double-digit growth in 2021,"<p id=""""> With the purpose of democratizing the automation of fuel pumps that supply vehicle fleets and eliminating borders, CTA Smart, a technology company that develops fueling automation and control systems, founded ten years ago in Porto Cheerful, RS, now you want to take bigger flights. Last month, it received an initial round of contributions of R$5.5 million from Marcozero, the corporate venture capital and new business arm of Marcopolo, and from Indicator Capital, a Brazilian early-stage venture capital manager.</p>< p id="""">The idea is to boost the system with more advanced technologies, expand its presence in small and medium-sized companies in Brazil and take the service to thirty other countries. With growth of around 35% per year, the objective is to maintain double-digit growth and end 2021 with revenue of R$ 15 million.</p><p id="""">Two years ago, CTA Smart began the internationalization process by opening a branch in Miami, in the United States, where it is known as Link2Pump. Currently 95% of the startup's revenue comes from local companies and 5% from abroad. But the plan is that, by the end of 2022, this percentage will jump to 25%, says CEO Bruno Lopes.</p><p id=""""><a href=""https://www.autodata.com .br/noticias/2021/11/05/apos-investimentos-cta-smart-projeta-crescer-dois-digitos-em-2021/34702/"" id="""">Continue reading</a></p>"
InFleet capta R$ 10 milhões,"<p id="""">A Infleet, plataforma baiana de gestão de frotas, captou R$ 10 milhões em uma rodada de investimentos liderada pela Indicador Capital, maior gestora com foco em deep tech da América Latina.</p><p id="""">Participaram do aporte também a Domo.VC, através do Fundo Anjo, com R$ 2 milhões, e CV Idexo, CVC da TOTVS, com R$ 3 milhões.</p><p id="""">Fundada em 2018, a Infleet foi criada por Victor Vilas Boas Cavalcanti (CEO), Henrique Viana (head de vendas), Lucas Bastos (CPO) e Vitor Reis (COO), que estudaram juntos na Universidade Federal da Bahia e trabalharam em diferentes empresas da indústria.</p><p id="""">Ao participarem de programas de inovação na área de mobilidade e logística em instituições como Renault, Senai, ABDI e Vale do Dendê, eles perceberam que havia uma carência tecnológica nas empresas de logística, com a maioria dos processos sendo realizados via Excel.</p><p id="""">(Por: Julia Facca)</p><p id=""""><a href=""https://www.baguete.com.br/noticias/27/05/2024/infleet-capta-r-10-milhoes"" id="""">Read -&gt;</a></p><p id="""">‍</p>",2024-5-27,Baguete,pt,https://www.baguete.com.br/noticias/27/05/2024/infleet-capta-r-10-milhoes,InFleet raises R$10 million,"<p id="""">Infleet, a fleet management platform from Bahia, raised R$10 million in an investment round led by Indicador Capital, the largest manager focused on deep tech in Latin America.</p><p id ="""">Domo.VC also participated in the contribution, through the Anjo Fund, with R$ 2 million, and CV Idexo, CVC of TOTVS, with R$ 3 million.</p><p id="""">Founded In 2018, Infleet was created by Victor Vilas Boas Cavalcanti (CEO), Henrique Viana (head of sales), Lucas Bastos (CPO) and Vitor Reis (COO), who studied together at the Federal University of Bahia and worked in different companies in the industry.</p><p id="""">By participating in innovation programs in the area of ​​mobility and logistics in institutions such as Renault, Senai, ABDI and Vale do Dendê, they realized that there was a technological lack in logistics companies, with most processes being carried out via Excel.</p><p id="""">(By: Julia Facca)</p><p id=""""><a href=""https://www.baguete .com.br/noticias/27/05/2024/infleet-capta-r-10-milhoes"" id="""">Read -&gt;</a></p><p id="""">‍</ p>"
Indicator Capital gere fundo focado em IoT,,2020-6-25,Baguete,pt,https://www.baguete.com.br/noticias/25/06/2020/indicator-capital-gere-fundo-focado-em-iot,Indicator Capital manages fund focused on IoT,#VALUE!
"Indicator Capital, BNDES and Qualcomm Ventures launch the first fund in Latin America with a focus on Internet of Things (IoT)","<h3 id="""">  <strong id="""">Indicator Capital, BNDES and Qualcomm Ventures launch the first fund in Latin America with a focus on Internet of Things (IoT)</strong></h3><p id=""""><strong id="""">May 2021</strong> – Indicator Capital, the National Bank for Economic and Social Development (BNDES) and Qualcomm Ventures LLC announced today the launch of the early-stage venture capital fund Indicator 2 IoT FIP Fund, with a first-close of R$ 240 million, focused on Internet of Things (IoT) and Connectivity in Latin America. The fund has seven major investors: in addition to the creators of the public bid, BNDES and Qualcomm Ventures, additional funds were raised from Banco do Brasil, Multilaser, Motorola, Lenovo and Telefônica Ventures / Vivo, among other institutional and corporate investors.</p><p id="""">Aimed at startups that develop services and products related to IoT and Connectivity, the fund promotes the National IoT Plan, accelerating technologies from strategic sectors for the country, such as Agriculture, Health, Industry 4.0, Smart Cities and Mobility. With this funding, Indicator Capital becomes the largest Brazilian venture capital manager in Latin America specializing in IoT.</p><p id="""">According to Thomas Bittar, one of the three founding partners of Indicator, “the closing of the product was disputed, and we were unable to accommodate all investors. For this reason, we prioritized the most strategic to help us accelerate the formation of the national IoT ecosystem. Our objective was to launch a fund with at least R$ 120 million, but the high demand made it possible to close the fundraising with twice the original amount”, he adds.</p><p id="""">The fund is the result of a joint initiative by BNDES and Qualcomm Ventures, investment arm of Qualcomm Incorporated, a world leader in next-generation wireless technologies that, in December 2019, launched a public call for tenders to select a manager to structure the newly created investment fund. Together, BNDES and Qualcomm Ventures made an initial investment of R$ 85 million.</p><p id=""""><a href=""https://indicator.capital/2021/05/15/Indicator2IoT/BayBrazil"" target=""_blank"" id="""">Continue Reading</a></p>",2021-5-21,Baybrazil,en,https://indicator.capital/2021/05/15/Indicator2IoT/BayBrazil,"Indicator Capital, BNDES and Qualcomm Ventures launch the first fund in Latin America with a focus on Internet of Things (IoT)","<h3 id=""""> <strong id="""">Indicator Capital, BNDES and Qualcomm Ventures launch the first fund in Latin America with a focus on Internet of Things (IoT)</strong></h3><p id= """"><strong id="""">May 2021</strong> – Indicator Capital, the National Bank for Economic and Social Development (BNDES) and Qualcomm Ventures LLC announced today the launch of the early-stage venture capital fund Indicator 2 IoT FIP Fund, with a first-close of R$240 million, focused on Internet of Things (IoT) and Connectivity in Latin America. The fund has seven major investors: in addition to the creators of the public bid, BNDES and Qualcomm Ventures, additional funds were raised from Banco do Brasil, Multilaser, Motorola, Lenovo and Telefônica Ventures / Vivo, among other institutional and corporate investors.< /p><p id="""">Aimed at startups that develop services and products related to IoT and Connectivity, the fund promotes the National IoT Plan, accelerating technologies from strategic sectors for the country, such as Agriculture, Health, Industry 4.0, Smart Cities and Mobility. With this funding, Indicator Capital becomes the largest Brazilian venture capital manager in Latin America specializing in IoT.</p><p id="""">According to Thomas Bittar, one of the three founding partners of Indicator, “the closing of the product was disputed, and we were unable to accommodate all investors. For this reason, we prioritized the most strategic to help us accelerate the formation of the national IoT ecosystem. Our objective was to launch a fund with at least R$ 120 million, but the high demand made it possible to close the fundraising with twice the original amount”, he adds.</p><p id="""">The fund is the result of a joint initiative by BNDES and Qualcomm Ventures, investment arm of Qualcomm Incorporated, a world leader in next-generation wireless technologies that, in December 2019, launched a public call for trends to select a manager to structure the newly created investment fund . Together, BNDES and Qualcomm Ventures made an initial investment of R$ 85 million.</p><p id=""""><a href=""https://indicator.capital/2021/05/15/Indicator2IoT/BayBrazil"" target=""_blank"" id="""">Continue Reading</a></p>"
